<<<<<<< HEAD
Zooniverse ID,HD Number,WISE ID,SpType,Btmag,Bterr,Vtmag,Vterr,Bt-Vt,,Bmag,Berr,Vmag,Verr,Gmag,Gmagerr,Jmag,Jmagerr,w4xs,w4xs_err,Notes,,W1mag,W1err,W1cormag,dW1cor/dW1mag,W1corerr,W4mag,W4err,W4new,W4new_err,W4use,W4use_err,,,,,,,,,,,
AWI0005abb,213208,J222653.92+733429.0,,7.86,0.01,7.9,0.01,-0.04,,7.97,0.02,7.91,0.01,7.924,0.001,7.910,0.018,1.074,0.070,,,7.935,0.023,7.938,1.003099,0.023,6.864,0.066,,,6.864,0.066,,AWI0005abb,213208,J222653.92+733429.0,7.910,0.018,,,,,
AWI0005ym7,23873,J034921.76+242251.0,,6.563,0.015,6.586,0.01,-0.023,,6.566,0.019,6.59,0.01,6.637,0.00049,6.602,0.017,1.206,0.055,,,6.635,0.04,6.630,1.009079,0.040,5.424,0.037,,,5.424,0.037,,AWI0005ym7,23873,J034921.76+242251.0,6.602,0.017,,,,,
AWI00019fp,204905,J212952.96+525601.9,,7.22,0.01,7.24,0.01,-0.02,,7.22,0.02,7.24,0.01,,,7.146,0.023,0.605,0.061,,,7.161,0.029,7.160,1.0066594,0.029,6.555,0.054,,,6.555,0.054,,AWI00019fp,204905,J212952.96+525601.9,7.146,0.023,,,,,
AWI00004o8,      ,J165204.85+145827.2,,6.473,0.014,6.488,0.01,-0.015,,6.47,0.02,6.49,0.01,,,6.504,0.034,0.475,0.063,,,6.561,0.034,6.555,1.0094194,0.034,6.08,0.053,,,6.08,0.053,,AWI00004o8,      ,J165204.85+145827.2,6.504,0.034,,,,,
AWI0005yjp,14893,J022515.75+370707.9,,7.323,0.015,7.336,0.011,-0.013,,7.32,0.02,7.34,0.01,,,7.341,0.018,1.096,0.066,,,7.404,0.027,7.404,1.0055416,0.027,6.308,0.06,,,6.308,0.06,,AWI0005yjp,14893,J022515.75+370707.9,7.341,0.018,,,,,
AWI0005brt,168742,J182004.41+292653.3,,8.03,0.01,8.04,0.01,-0.01,,8.03,0.02,8.04,0.01,8.055,0.002,7.961,0.018,0.838,0.098,,,7.985,0.022,7.988,1.002869,0.022,7.15,0.095,,,7.15,0.095,,AWI0005brt,168742,J182004.41+292653.3,7.961,0.018,,,,,
AWI000600n,29554,J043852.53-081329.6,,7.25,0.01,7.26,0.01,-0.01,,7.25,0.02,7.26,0.01,7.295,0.001,7.261,0.023,0.681,0.071,,,7.27,0.03,7.269,1.006158,0.030,6.588,0.064,,,6.588,0.064,,AWI000600n,29554,J043852.53-081329.6,7.261,0.023,,,,,
AWI00000lj,      ,J162754.20+061441.3,,,,,,0,,,,,,,,8.510,0.026,1.204,0.055,,,7.201,0.028,7.200,1.0064754,0.028,5.996,0.047,,,5.996,0.047,,AWI00000lj,      ,J162754.20+061441.3,8.510,0.026,,7.782,,5.761,2.021
AWI00000to,      ,J173832.90+425112.9,,,,,,0,,,,,,,,8.223,0.020,1.249,0.053,,,7.012,0.032,7.010,1.0073448,0.032,5.761,0.042,,,5.761,0.042,,AWI00000to,      ,J173832.90+425112.9,8.223,0.020,,7.782,7.782,,
AWI000028h,      ,J165556.61+241554.0,,,,,,0,,,,,,,,12.414,0.026,4.586,0.098,,,11.676,0.022,11.676,1,0.022,7.09,0.095,,,7.09,0.095,,AWI000028h,      ,J165556.61+241554.0,12.414,0.026,,,,,
AWI000034n,      ,J164021.30+075004.8,,,,,,0,,,,,,,,8.131,0.026,1.273,0.053,,,6.773,0.038,6.769,1.0084442,0.038,5.496,0.037,,,5.496,0.037,,AWI000034n,      ,J164021.30+075004.8,8.131,0.026,,,,,
AWI00004c1,      ,J161241.51+054140.8,,,,,,0,,,,,,,,9.697,0.021,1.118,0.109,,,8.364,0.022,8.364,1,0.022,7.246,0.107,,,7.246,0.107,,AWI00004c1,      ,J161241.51+054140.8,9.697,0.021,,7.139,-7.139,,
AWI00005ko,      ,J165920.60+131219.3,,,,,,0,,,,,,,,13.078,0.025,4.196,0.071,,,10.978,0.023,10.978,1,0.023,6.782,0.067,,,6.782,0.067,,AWI00005ko,      ,J165920.60+131219.3,13.078,0.025,,,,,
AWI0000jvv,      ,J003507.14+070625.0,,,,,,0,,,,,,,,8.142,0.019,2.014,0.048,,,6.94,0.033,6.937,1.007676,0.033,4.923,0.035,,,4.923,0.035,,AWI0000jvv,      ,J003507.14+070625.0,8.142,0.019,,,,,
AWI0000qox,      ,J020359.52+141132.3,,,,,,0,,,,,,,,8.011,0.023,0.967,0.056,,,6.789,0.037,6.785,1.0083706,0.037,5.818,0.042,,,5.818,0.042,,AWI0000qox,      ,J020359.52+141132.3,8.011,0.023,,,,,
AWI0000s7e,      ,J103639.10+441425.8,,,,,,0,,,,,,,,12.668,0.023,5.947,0.062,,,12.282,0.024,12.282,1,0.024,6.335,0.057,,,6.335,0.057,,AWI0000s7e,      ,J103639.10+441425.8,12.668,0.023,,,,,
AWI0000t35,      ,J153456.23+335145.2,,,,,,0,,,,,,,,10.072,0.021,1.480,0.103,,,8.88,0.023,8.880,1,0.023,7.4,0.1,,,7.4,0.1,,AWI0000t35,      ,J153456.23+335145.2,10.072,0.021,,,,,
AWI0000tsh,      ,J155009.26+403823.5,,,,,,0,,,,,,,,8.526,0.030,0.394,0.067,,,7.425,0.027,7.425,1.005445,0.027,7.031,0.061,,,7.031,0.061,,AWI0000tsh,      ,J155009.26+403823.5,8.526,0.030,,,,,
AWI0000tz1,140101,J154030.20+370101.1,,7.17,0.01,7.17,0.01,0,,7.17,0.02,7.17,0.01,,,7.109,0.023,0.739,0.057,,,7.123,0.03,7.121,1.0068342,0.030,6.382,0.048,,,6.382,0.048,,AWI0000tz1,140101,J154030.20+370101.1,7.109,0.023,,,,,
AWI0000xbv,18337,J025926.83+593531.6,,,,,,0,,7.91,0.01,7.68,0.01,7.629,0.00049,7.121,0.021,0.495,0.071,,,6.965,0.037,6.962,1.007561,0.037,6.467,0.061,,,6.467,0.061,,AWI0000xbv,18337,J025926.83+593531.6,7.121,0.021,,,,,
AWI0000xcq,      ,J033421.19+564343.6,,,,,,0,,15.8,0.1,14.17,0.01,,,11.781,0.018,5.198,0.031,,,8.679,0.023,8.679,1,0.023,3.481,0.021,,,3.481,0.021,,AWI0000xcq,      ,J033421.19+564343.6,11.781,0.018,,,,,
AWI0000zqw,      ,J032847.84+575556.1,,,,,,0,,15.4,0.1,14.5,0.01,,,12.364,0.021,7.806,0.029,,,10.342,0.023,10.342,1,0.023,2.536,0.018,,,2.536,0.018,,AWI0000zqw,      ,J032847.84+575556.1,12.364,0.021,,,,,
AWI00019pi,      ,J235135.40+631323.1,,,,,,0,,12.01,0.01,11.5,0.01,11.263,0.003,10.265,0.027,1.911,0.102,,,9.652,0.022,9.652,1,0.022,7.741,0.1,,,7.741,0.1,,AWI00019pi,      ,J235135.40+631323.1,10.265,0.027,,,,,
AWI0001a1v,262177,J064151.08+100144.6,,,,,,0,,9.79,0.01,9.77,0.01,9.874,0.001,9.780,0.027,3.708,0.048,,,9.347,0.022,9.347,1,0.022,5.639,0.043,,,5.639,0.043,,AWI0001a1v,262177,J064151.08+100144.6,9.780,0.027,,,,,
AWI0001q3p,      ,J214537.00+570201.1,,,,,,0,,,,,,,,11.292,0.025,5.565,0.027,,,8.688,0.022,8.688,1,0.022,3.123,0.015,,,3.123,0.015,,AWI0001q3p,      ,J214537.00+570201.1,11.292,0.025,,,,,
AWI0002001,      ,J182717.07-041838.0,,,,,,0,,,,,,,,11.181,0.022,4.324,0.035,,,8.958,0.023,8.958,1,0.023,4.634,0.026,,,4.634,0.026,,AWI0002001,      ,J182717.07-041838.0,11.181,0.022,,,,,
AWI00021py,      ,J192343.53+230856.7,,,,,,0,,,,,,,,11.463,0.021,4.715,0.033,,,8.999,0.024,8.999,1,0.024,4.284,0.023,,,4.284,0.023,,AWI00021py,      ,J192343.53+230856.7,11.463,0.021,,,,,
AWI00022vs,      ,J210144.07+521717.6,,,,,,0,,,,12.5,0.01,,,10.557,0.021,3.197,0.040,,,8.509,0.022,8.509,1,0.022,5.312,0.033,,,5.312,0.033,,AWI00022vs,      ,J210144.07+521717.6,10.557,0.021,,,,,
AWI0002360,      ,J220614.20+600204.6,,,,,,0,,,,,,,,12.585,0.029,4.142,0.040,,,9.697,0.022,9.697,1,0.022,5.555,0.034,,,5.555,0.034,,AWI0002360,      ,J220614.20+600204.6,12.585,0.029,,,,,
AWI00023d1,      ,J224836.29+624808.6,,,,,,0,,,,,,,,11.998,0.024,5.386,0.030,,,9.663,0.023,9.663,1,0.023,4.277,0.019,,,4.277,0.019,,AWI00023d1,      ,J224836.29+624808.6,11.998,0.024,,,,,
AWI0002apf,      ,J182750.65-022407.4,,,,,,0,,,,,,,,8.308,0.030,1.303,0.052,,,6.403,0.04,6.395,1.0101462,0.040,5.092,0.033,,,5.092,0.033,,AWI0002apf,      ,J182750.65-022407.4,8.308,0.030,,,,,
AWI0002b3p,      ,J184748.57+080147.3,,,,,,0,,,,,,,,9.381,0.023,1.621,0.052,,,7.271,0.026,7.270,1.0061534,0.026,5.649,0.045,,,5.649,0.045,,AWI0002b3p,      ,J184748.57+080147.3,9.381,0.023,,,,,
AWI0002b6k,      ,J185211.39+102422.6,,,,,,0,,,,,,,,9.948,0.023,1.856,0.054,,,8.324,0.022,8.324,1,0.022,6.468,0.049,,,6.468,0.049,,AWI0002b6k,      ,J185211.39+102422.6,9.948,0.023,,,,,
AWI0002coc,      ,J213519.16+573638.1,,,,,,0,,,,,,,,11.665,0.024,5.601,0.029,,,9.333,0.023,9.333,1,0.023,3.732,0.017,,,3.732,0.017,,AWI0002coc,      ,J213519.16+573638.1,11.665,0.024,,,,,
AWI0002cu6,      ,J222906.46+631045.9,,,,,,0,,,,,,,,11.843,0.027,4.853,0.036,,,9.866,0.022,9.866,1,0.022,5.013,0.029,,,5.013,0.029,,AWI0002cu6,      ,J222906.46+631045.9,11.843,0.027,,,,,
AWI0002d6a,21930,J033549.39+641324.7,,,,,,0,,8.6,0.01,8.42,0.01,8.379,0.001,7.930,0.024,0.948,0.080,,,7.88,0.024,7.882,1.003352,0.024,6.934,0.076,,,6.934,0.076,,AWI0002d6a,21930,J033549.39+641324.7,7.930,0.024,,,,,
AWI0002lxd,      ,J182016.88-031207.4,,,,,,0,0,,,,,,,9.092,0.026,1.039,0.066,,,6.68,0.04,6.675,1.008872,0.040,5.636,0.052,,,5.636,0.052,,AWI0002lxd,      ,J182016.88-031207.4,9.092,0.026,,,,,
AWI0002lxl,      ,J182032.53-022049.6,,,,,,0,0,,,,,,,9.174,0.032,2.169,0.045,,,6.87,0.032,6.867,1.007998,0.032,4.698,0.032,,,4.698,0.032,,AWI0002lxl,      ,J182032.53-022049.6,9.174,0.032,,,,,
AWI0002m6v,      ,J182955.33+004939.0,,,,,,0,0,16.1,0.1,,,,,10.400,0.023,4.828,0.037,,,7.116,0.03,7.114,1.0068664,0.030,2.286,0.021,,,2.286,0.021,,AWI0002m6v,      ,J182955.33+004939.0,10.400,0.023,,,,,
AWI0002m9o,      ,J183311.41+025439.0,,,,,,0,0,,,,,,,9.396,0.023,1.834,0.049,,,6.185,0.04,6.175,1.011149,0.040,4.341,0.027,,,4.341,0.027,,AWI0002m9o,      ,J183311.41+025439.0,9.396,0.023,,,,,
AWI0002o5q,      ,J204109.10+521801.3,,,,,,0,0,,,,,,,9.696,0.024,1.924,0.045,,,7.841,0.023,7.843,1.0035314,0.023,5.919,0.039,,,5.919,0.039,,AWI0002o5q,      ,J204109.10+521801.3,9.696,0.024,,,,,
AWI0002o7p,      ,J204909.99+543431.2,,,,,,0,0,,,,,,,8.208,0.021,1.316,0.049,,,6.695,0.038,6.690,1.008803,0.038,5.374,0.03,,,5.374,0.03,,AWI0002o7p,      ,J204909.99+543431.2,8.208,0.021,,,,,
AWI0002o9g,      ,J210805.95+570209.1,,,,,,0,0,,,,,,,9.251,0.026,1.320,0.050,,,7.441,0.027,7.441,1.0053714,0.027,6.121,0.042,,,6.121,0.042,,AWI0002o9g,      ,J210805.95+570209.1,9.251,0.026,,,,,
AWI0002opj,      ,J224952.84+654925.9,,,,,,0,0,,,,,,,8.922,0.021,2.812,0.046,,,6.516,0.041,6.509,1.0096264,0.041,3.697,0.019,,,3.697,0.019,,AWI0002opj,      ,J224952.84+654925.9,8.922,0.021,,,,,
AWI0003cp6,      ,J235652.35+611338.1,,,,,,0,0,10.22,0.01,9.8,0.01,9.722,0.002,8.740,0.021,1.577,0.053,,,8.082,0.023,8.082,1,0.023,6.505,0.048,,,6.505,0.048,,AWI0003cp6,      ,J235652.35+611338.1,8.740,0.021,,,,,
AWI00055xe,36421,J053523.12+594548.1,,,,,,0,0,8.34,0.007,8.14,0.009,8.082,0.002,7.567,0.018,0.769,0.066,,,7.425,0.026,7.425,1.005445,0.026,6.656,0.061,,,6.656,0.061,,AWI00055xe,36421,J053523.12+594548.1,7.567,0.018,,,,,
AWI0005aap,      ,J221513.24+711142.2,,,,,,0,0,,,,,,,11.433,0.019,5.177,0.031,,,9.937,0.023,9.937,1,0.023,4.76,0.021,,,4.76,0.021,,AWI0005aap,      ,J221513.24+711142.2,11.433,0.019,,,,,
AWI0005wdi,      ,J051604.02+061852.6,,,,,,0,0,,,,,,,11.286,0.022,4.159,0.036,,,8.683,0.023,8.683,1,0.023,4.524,0.028,,,4.524,0.028,,AWI0005wdi,      ,J051604.02+061852.6,11.286,0.022,,,,,
AWI0005wmu,      ,J053805.25-011521.6,,,,,,0,0,10.18,0.01,9.82,0.01,9.749,0.002,8.878,0.032,5.439,0.046,,,6.344,0.042,6.336,1.0104176,0.042,0.897,0.017,,,0.897,0.017,,AWI0005wmu,      ,J053805.25-011521.6,8.878,0.032,,,,,
AWI0005yjn,14685,J022317.32+381509.7,,,,,,0,0,7.12,0.007,7.14,0.009,7.165,0.001,7.037,0.018,0.746,0.065,,,7.053,0.032,7.051,1.0071562,0.032,6.305,0.056,,,6.305,0.056,,AWI0005yjn,14685,J022317.32+381509.7,7.037,0.018,,,,,
AWI0005ylw,      ,J033906.73+244209.8,,,,,,0,0,7.13,0.01,7.09,0.01,,,6.979,0.024,0.745,0.070,,,6.98,0.035,6.977,1.007492,0.035,6.232,0.06,,,6.232,0.06,,AWI0005ylw,      ,J033906.73+244209.8,6.979,0.024,,,,,
AWI0005ylz,      ,J034400.28+243324.6,,,,,,0,0,8.28,0.01,8.07,0.01,8.037,0.001,7.633,0.037,1.001,0.093,,,7.529,0.025,7.530,1.0049666,0.025,6.529,0.09,,,6.529,0.09,,AWI0005ylz,      ,J034400.28+243324.6,7.633,0.037,,,,,
AWI0005ym9,24178,J035157.43+255955.4,,,,,,0,0,7.82,0.01,7.68,0.01,7.653,0.00049,7.309,0.019,0.498,0.090,,,7.264,0.031,7.263,1.0061856,0.031,6.765,0.084,,,6.765,0.084,,AWI0005ym9,24178,J035157.43+255955.4,7.309,0.019,,,,,
AWI0005ymc,25161,J040040.65+202447.8,,,,,,0,0,8.25,0.01,8.05,0.01,8.013,0.001,7.578,0.027,2.051,0.046,,,7.417,0.025,7.417,1.0054818,0.025,5.366,0.039,,,5.366,0.039,,AWI0005ymc,25161,J040040.65+202447.8,7.578,0.027,,,,,
AWI0005yo4,33918,J051328.63-043910.6,,,,,,0,0,7.85,0.01,7.67,0.01,7.699,0.007,7.317,0.018,0.510,0.076,,,7.205,0.03,7.204,1.006457,0.030,6.694,0.07,,,6.694,0.07,,AWI0005yo4,33918,J051328.63-043910.6,7.317,0.018,,,,,
AWI0005yor,34835,J052007.77-055046.0,,,,,,0,0,8.12,0.01,8.16,0.01,8.198,0.002,8.230,0.032,3.501,0.038,,,8.291,0.023,8.291,1,0.023,4.79,0.03,,,4.79,0.03,,AWI0005yor,34835,J052007.77-055046.0,8.230,0.032,,,,,
AWI000622o,      ,J212547.34-022251.3,,,,,,0,0,,,,,,,10.949,0.026,5.865,0.030,,,9.729,0.022,9.729,1,0.022,3.864,0.021,,,3.864,0.021,,AWI000622o,      ,J212547.34-022251.3,10.949,0.026,,,,,
AWI00062lo,2830,J003140.76-014737.3,,,,,,0,0,7.15,0.01,7.07,0.01,7.07,0.001,6.917,0.019,1.009,0.059,,,6.845,0.033,6.841,1.008113,0.033,5.832,0.049,,,5.832,0.049,,AWI00062lo,2830,J003140.76-014737.3,6.917,0.019,,,,,
AWI00005x2,,J153910.61-154639.2,,,,,,0,0,,,,,,,11.255,0.024,5.078,0.038,,,10.077,0.023,10.077,1,0.023,4.999,0.03,,,4.999,0.03,,AWI00005x2,J153910.61-154639.2,11.255,,,,,,,
AWI00008jh,,J015317.94-461421.9,,,,,,0,0,14.283,0.05,12.626,0.055,,,8.367,0.027,0.729,0.069,,,7.046,0.034,7.044,1.0071884,0.034,6.315,0.06,,,6.315,0.06,,AWI00008jh,J015317.94-461421.9,8.367,,,,,,,
AWI0000b9g,,J023115.97-094845.9,,,,,,0,0,,,,,,,15.133,0.057,6.777,0.063,,,13.575,0.025,13.575,1,0.025,6.798,0.058,,,6.798,0.058,,AWI0000b9g,J023115.97-094845.9,15.133,,,,,,,
AWI0000c52,,J025149.66-244328.9,,,,,,0,0,11.068,0.025,10.082,0.061,9.664,0.001,8.199,0.029,1.104,0.055,,,7.498,0.028,7.499,1.0051092,0.028,6.395,0.047,,,6.395,0.047,,AWI0000c52,J025149.66-244328.9,8.199,,,,,,,
AWI0000hdq,,J222222.91-531805.1,,,,,,0,0,12.889,0.02,11.956,0.031,11.6,0.001,10.21,0.021,3.399,0.054,,,9.539,0.023,9.539,1,0.023,6.14,0.049,,,6.14,0.049,,AWI0000hdq,J222222.91-531805.1,10.21,,,,,,,
AWI00025ny,,J162418.65-431516.5,,,,,,0,0,,,,,,,8.237,0.021,1.291,0.051,,,6.158,0.043,6.148,1.0112732,0.043,4.857,0.026,,,4.857,0.026,,AWI00025ny,J162418.65-431516.5,8.237,,,,,,,
AWI00043e8,,J113252.86-652033.1,,,,,,0,0,,,,,,,8.628,0.024,0.873,0.053,,,6.86,0.03,6.857,1.008044,0.030,5.984,0.044,,,5.984,0.044,,AWI00043e8,J113252.86-652033.1,8.628,,,,,,,
AWI00059aj,,J180611.37+035840.5,,,,,,0,0,,,,,,,10.363,0.027,2.602,0.068,,,8.856,0.022,8.856,1,0.022,6.254,0.064,,,6.254,0.064,,AWI00059aj,J180611.37+035840.5,10.363,,,,,,,
AWI0005b52,,J162039.60-263428.5,M2,,,,,0,0,15.7,0.01,,,,,10.941,0.027,3.433,0.074,,,9.786,0.023,9.786,1,0.023,6.353,0.07,,,6.353,0.07,,AWI0005b52,J162039.60-263428.5,10.941,,,,,,,
AWI0005b5k,,J162224.95-232955.1,,,,,,0,0,17.3,0.01,,,,,11.113,0.024,4.603,0.047,,,9.102,0.024,9.102,1,0.024,4.499,0.04,,,4.499,0.04,,AWI0005b5k,J162224.95-232955.1,11.113,,,,,,,
AWI0005b80,,J162932.66-254329.3,,,,,,0,0,17.81,0.21,16.1,0.01,,,10.982,0.023,4.850,0.036,,,9.185,0.023,9.185,1,0.023,4.335,0.028,,,4.335,0.028,,AWI0005b80,J162932.66-254329.3,10.982,,,,,,,
AWI0005b88,,J163033.90-242806.5,M4,,,,,0,0,,,,,,,11.625,0.026,4.001,0.063,,,9.964,0.022,9.964,1,0.022,5.963,0.059,,,5.963,0.059,,AWI0005b88,J163033.90-242806.5,11.625,,,,,,,
AWI0005bjo,,J172734.02-020656.8,,,,,,0,0,,,,,,,12.526,0.023,4.079,0.072,,,10.187,0.023,10.187,1,0.023,6.108,0.068,,,6.108,0.068,,AWI0005bjo,J172734.02-020656.8,12.526,,,,,,,
AWI0005bk4,,J172944.28-061340.5,,,,,,0,0,,,,,,,9.808,0.027,2.861,0.040,,,7.973,0.023,7.976,1.0029242,0.023,5.115,0.033,,,5.115,0.033,,AWI0005bk4,J172944.28-061340.5,9.808,,,,,,,
AWI0005paa,,J171307.83-532428.8,,,,,,0,0,,,,,,,8.12,0.020,3.478,0.041,,,6.803,0.034,6.799,1.0083062,0.034,3.321,0.023,,,3.321,0.023,,AWI0005paa,J171307.83-532428.8,8.12,,,,,,,
AWI0005wdq,,J051740.83+090514.5,,,,,,0,0,,,,,,,11.069,0.023,4.599,0.039,,,9.631,0.022,9.631,1,0.022,5.032,0.032,,,5.032,0.032,,AWI0005wdq,J051740.83+090514.5,11.069,,,,,,,
AWI0005wef,,J052411.19+033521.5,,,,,,0,0,,,,,,,11.548,0.021,4.346,0.046,,,10.141,0.024,10.141,1,0.024,5.795,0.039,,,5.795,0.039,,AWI0005wef,J052411.19+033521.5,11.548,,,,,,,
AWI0005wex,,J052617.32+055817.1,,,,,,0,0,,,,,,,12.824,0.024,6.772,0.039,,,11.795,0.025,11.795,1,0.025,5.023,0.03,,,5.023,0.03,,AWI0005wex,J052617.32+055817.1,12.824,,,,,,,
AWI0005wfv,,J052945.11+021539.6,,,,,,0,0,,,,,,,10.795,0.024,4.322,0.040,,,9.092,0.023,9.092,1,0.023,4.77,0.033,,,4.77,0.033,,AWI0005wfv,J052945.11+021539.6,10.795,,,,,,,
AWI0005wg8,,J053020.90+004432.8,,,,,,0,0,,,,,,,8.551,0.020,1.219,0.055,,,7.256,0.031,7.255,1.0062224,0.031,6.036,0.045,,,6.036,0.045,,AWI0005wg8,J053020.90+004432.8,8.551,,,,,,,
AWI0005wgp,,J053224.00-050523.4,M2,,,,,0,0,15.8,0.01,13.42,0.01,,,10.84,0.022,4.063,0.045,,,9.151,0.023,9.151,1,0.023,5.088,0.039,,,5.088,0.039,,AWI0005wgp,J053224.00-050523.4,10.84,,,,,,,
AWI0005wgs,,J053225.66-034313.6,,,,,,0,0,15.3,0.01,14.8,0.01,,,12.03,0.022,4.510,0.052,,,10.329,0.024,10.329,1,0.024,5.819,0.046,,,5.819,0.046,,AWI0005wgs,J053225.66-034313.6,12.03,,,,,,,
AWI0005wi7,,J053431.70-035151.2,,,,,,0,0,,,,,,,10.436,0.023,3.606,0.068,,,9.233,0.023,9.233,1,0.023,5.627,0.064,,,5.627,0.064,,AWI0005wi7,J053431.70-035151.2,10.436,,,,,,,
AWI0005wj7,,J053525.11-064756.5,M0,,,,,0,0,14.8,0.01,14.915,0.01,,,11.368,0.027,4.321,0.046,,,9.587,0.023,9.587,1,0.023,5.266,0.04,,,5.266,0.04,,AWI0005wj7,J053525.11-064756.5,11.368,,,,,,,
AWI0005wjy,,J053552.02-061001.6,K2.0,,,,,0,0,16.65,0.01,14.4,0.1,,,9.725,0.032,6.575,0.036,,,7.244,0.03,7.243,1.0062776,0.030,0.668,0.02,,,0.668,0.02,,AWI0005wjy,J053552.02-061001.6,9.725,,,,,,,
AWI0005wnn,,J053827.67-065453.6,K7.5,,,,,0,0,13.8,0.1,14.06,0.01,,,11.305,0.024,5.193,0.037,,,9.71,0.023,9.710,1,0.023,4.517,0.029,,,4.517,0.029,,AWI0005wnn,J053827.67-065453.6,11.305,,,,,,,
AWI0005wnz,,J053839.81-025646.2,K7.5,,,,,0,0,15.98,0.02,14.62,0.02,,,11.413,0.027,4.663,0.039,,,9.838,0.023,9.838,1,0.023,5.175,0.031,,,5.175,0.031,,AWI0005wnz,J053839.81-025646.2,11.413,,,,,,,
AWI0005wox,,J053926.39-021503.3,K4.5,,,,,0,0,15.4,0.1,14.51,0.01,,,11.844,0.024,5.206,0.036,,,9.494,0.023,9.494,1,0.023,4.288,0.028,,,4.288,0.028,,AWI0005wox,J053926.39-021503.3,11.844,,,,,,,
AWI0005wpr,,J054006.72-061618.9,K3,,,,,0,0,13.8,0.1,13.87,0.02,,,10.814,0.021,5.110,0.035,,,9.033,0.023,9.033,1,0.023,3.923,0.027,,,3.923,0.027,,AWI0005wpr,J054006.72-061618.9,10.814,,,,,,,
AWI0005wsf,,J054214.29-075835.1,K7.0,,,,,0,0,,,14.853,0.01,,,11.727,0.026,4.540,0.031,,,8.891,0.022,8.891,1,0.022,4.351,0.022,,,4.351,0.022,,AWI0005wsf,J054214.29-075835.1,11.727,,,,,,,
